Frame          Left           Top            Right          Bottom         
[int]          [x_axis_pixel] [y_axis_pixel] [x_axis_pixel] [y_axis_pixel] 
239            121            0              132            3              
240            121            4              132            7              
241            121            8              131            11             
242            121            15             131            19             
243            120            19             131            23             
244            120            22             130            26             
245            120            26             130            29             
246            120            29             130            33             
247            120            32             131            36             
248            121            35             132            38             
249            123            36             134            40             
250            128            39             138            43             
251            131            40             141            44             
252            135            41             145            45             
253            139            41             148            45             
254            144            41             154            45             
255            149            41             158            45             
256            154            41             163            44             
257            160            40             169            44             
258            165            40             174            44             
259            171            39             179            43             
260            176            39             185            42             
261            182            38             190            42             
262            187            37             195            41             
263            193            37             201            41             
264            198            36             206            40             
265            204            36             212            40             
266            209            36             217            40             
267            215            35             222            39             
268            221            35             228            39             
269            226            35             233            39             
270            231            35             239            39             
271            237            35             244            39             
272            241            35             248            39             
273            246            35             252            39             
274            250            35             256            39             
275            253            35             260            39             
276            257            35             263            40             
277            260            35             266            39             
278            262            36             269            40             
279            265            35             271            40             
280            267            35             273            40             
281            269            36             275            40             
282            271            36             277            40             
283            273            35             279            40             
284            275            35             281            40             
285            276            36             282            40             
286            278            35             283            40             
287            279            35             285            40             
288            280            35             286            39             
289            281            36             287            40             
290            282            35             288            40             
291            283            35             289            40             
292            284            35             290            39             
293            285            35             291            39             
294            286            35             292            39             
295            287            35             292            40             
296            287            35             293            40             
297            288            35             294            39             
298            289            35             294            39             
299            289            35             295            39             
300            290            35             296            39             
301            291            34             296            39             
302            291            35             297            39             
303            292            34             297            39             
304            292            34             298            39             
305            292            34             298            39             
306            293            34             298            39             
307            293            34             299            39             
308            293            34             299            38             
309            294            34             299            39             
310            294            34             299            39             
311            294            34             300            38             
312            294            34             300            39             
313            295            34             300            39             
314            295            34             300            38             
315            295            34             301            38             
316            295            34             301            38             
317            295            34             301            38             
318            295            34             301            38             
319            296            33             301            38             
320            296            33             301            38             
321            296            34             302            38             
322            296            34             302            38             
323            296            33             302            38             
324            296            33             302            38             
325            296            33             302            38             
326            297            33             302            38             
327            297            33             302            38             
328            297            33             302            38             
329            297            33             302            38             
330            297            33             303            38             
331            297            33             303            38             
332            297            33             303            38             
333            297            33             303            38             
334            297            33             303            38             
335            297            33             303            38             
336            297            33             303            38             
337            297            33             303            38             
338            297            33             303            38             
339            297            33             303            38             
340            297            33             303            38             
341            297            33             303            38             
342            297            33             303            38             
343            297            33             303            38             
344            297            33             303            38             
345            297            33             303            38             
346            297            34             303            38             
347            297            34             303            38             
348            297            34             303            38             
349            297            34             303            38             
350            297            34             303            38             
351            297            34             303            38             
352            297            34             303            38             
353            297            34             303            38             
354            297            34             303            38             
355            297            34             303            38             
356            297            34             303            38             
357            297            34             303            38             
358            297            34             303            38             
359            297            34             303            38             
360            297            34             303            38             
361            297            34             303            38             
362            297            34             303            39             
363            297            34             303            39             
364            297            34             303            39             
365            297            34             303            39             
366            297            34             303            39             
367            297            34             302            39             
368            297            34             302            39             
369            297            34             302            39             
370            297            35             302            39             
371            297            35             302            39             
372            297            35             302            39             
373            297            35             302            39             
374            297            35             302            40             
375            296            35             302            40             
376            296            35             302            40             
377            296            35             302            40             
378            296            35             302            40             
379            296            35             302            40             
380            296            35             302            40             
381            296            36             302            40             
382            296            36             302            40             
383            296            36             302            40             
384            296            36             302            40             
385            296            36             302            40             
386            296            36             302            40             
387            296            36             302            40             
388            296            36             302            41             
389            296            36             301            41             
390            296            36             301            41             
391            296            36             301            41             
392            296            36             301            41             
393            296            36             301            41             
394            296            37             301            41             
395            295            37             301            42             
396            295            37             301            42             
397            295            37             301            42             
398            295            37             301            42             
399            295            37             301            42             
400            295            38             301            42             
401            295            38             301            42             
402            295            38             301            42             
403            295            37             301            42             
404            296            36             301            41             
405            296            34             302            39             
406            296            33             302            38             
407            297            31             303            35             
408            298            28             303            33             
409            298            26             304            31             
410            299            23             305            28             
411            300            19             306            24             
412            301            16             307            21             
413            302            12             308            17             
414            303            4              310            10             
415            304            0              311            6              
416            308            0              312            2              
1053           325            0              325            0              
1054           325            0              325            0              
1055           325            0              325            0              
1056           325            0              325            0              
1057           325            0              325            0              
1058           324            0              326            0              
1059           324            0              326            0              
1060           324            0              326            1              
1061           324            0              326            1              
1062           324            0              326            1              
1063           323            0              326            1              
1064           323            0              326            1              
1065           323            0              326            1              
1066           323            0              326            1              
1067           323            0              326            1              
1068           323            0              326            2              
1069           322            0              326            2              
1070           322            0              326            2              
1071           322            0              326            2              
1072           322            0              326            2              
1073           322            0              326            2              
1074           321            0              326            2              
1075           321            0              326            3              
1076           321            0              326            3              
1077           321            0              326            3              
1078           321            0              326            3              
1079           320            0              326            3              
1080           320            0              326            3              
1081           320            0              326            4              
1082           320            0              326            4              
1083           319            0              326            4              
1084           319            0              326            4              
1085           318            0              326            4              
1086           318            0              326            5              
1087           318            0              326            5              
1088           318            0              326            5              
1089           318            0              326            5              
1090           317            0              326            5              
1091           317            0              326            5              
1092           317            0              326            5              
1093           317            0              326            5              
1094           317            0              326            6              
1095           317            0              326            6              
1096           317            0              326            6              
1097           317            0              326            6              
1098           317            0              326            6              
1099           317            0              326            6              
1100           317            0              326            6              
