Frame          Left           Top            Right          Bottom         
[int]          [x_axis_pixel] [y_axis_pixel] [x_axis_pixel] [y_axis_pixel] 
4436           319            0              319            0              
4437           317            0              319            0              
4438           317            0              319            0              
4439           317            0              319            0              
4440           317            0              319            0              
4441           317            0              319            0              
4442           317            0              319            0              
4443           317            0              319            1              
4444           317            0              319            1              
4445           317            0              319            1              
4446           317            0              319            1              
4447           317            0              319            1              
4448           317            0              319            1              
4449           317            0              319            2              
4450           317            0              319            2              
4451           317            0              319            2              
4452           317            0              319            2              
4453           317            0              319            2              
4454           317            0              319            2              
4455           317            0              319            2              
4456           317            0              319            3              
4457           317            0              319            3              
4458           317            0              319            3              
4459           317            0              319            3              
4460           317            0              319            4              
4461           317            0              319            4              
4462           317            0              319            4              
4463           317            0              319            4              
4464           317            0              319            4              
4465           317            0              319            5              
4466           317            0              319            5              
4467           317            0              319            5              
4468           317            0              320            5              
4469           317            0              320            5              
4470           317            0              320            6              
4471           317            0              320            6              
4472           317            0              320            6              
4473           317            0              320            6              
4474           317            0              320            6              
4475           317            0              320            6              
4476           317            0              320            7              
4477           317            0              320            7              
4478           317            0              320            7              
4479           317            0              320            7              
4480           317            0              320            7              
4481           317            0              320            7              
4482           317            0              320            8              
4483           317            0              320            8              
4484           317            0              320            8              
4485           317            0              320            8              
4486           317            0              320            8              
4487           317            0              320            8              
4488           317            0              320            9              
4489           317            0              320            9              
4490           317            0              320            9              
4491           317            1              320            9              
4492           317            1              320            9              
4493           317            1              320            10             
4494           317            1              320            10             
4495           317            1              320            10             
4496           317            2              320            10             
4497           317            2              320            10             
4498           317            2              320            10             
4499           317            2              320            11             
4500           317            2              320            11             
4501           317            3              320            11             
4502           317            3              320            11             
4503           317            3              320            11             
4504           317            3              320            11             
4505           317            3              320            12             
4506           317            3              320            12             
4507           317            4              320            12             
4508           317            4              320            12             
4509           317            4              320            12             
4510           317            4              320            13             
4511           317            4              320            13             
4512           317            5              320            13             
4513           317            5              320            13             
4514           317            5              320            13             
4515           317            5              320            13             
4516           317            5              320            14             
4517           317            5              320            14             
4518           317            6              320            14             
4519           317            6              320            14             
4520           317            6              320            14             
4521           317            6              320            14             
4522           317            6              320            14             
4523           317            6              320            15             
4524           317            7              320            15             
4525           317            7              320            15             
4526           317            7              320            15             
4527           317            7              320            15             
4528           317            7              320            16             
4529           317            7              320            16             
4530           317            8              320            16             
4531           317            8              320            16             
4532           317            8              320            16             
4533           317            8              320            16             
4534           317            8              320            17             
4535           317            8              320            17             
4536           317            9              320            17             
4537           317            9              320            17             
4538           317            9              320            17             
4539           317            9              320            17             
4540           317            9              320            18             
4541           317            10             320            18             
4542           317            10             320            18             
4543           317            10             320            18             
4544           317            10             320            18             
4545           317            10             320            19             
4546           317            10             320            19             
4547           317            11             320            19             
4548           317            11             320            19             
4549           317            11             320            19             
4550           317            11             320            19             
4551           317            11             320            19             
4552           317            11             320            19             
4553           317            11             320            20             
4554           317            12             320            20             
4555           317            12             320            20             
4556           317            12             320            20             
4557           317            12             320            20             
4558           317            12             320            20             
4559           317            12             320            20             
4560           317            12             320            21             
4561           317            13             320            21             
4562           317            13             320            21             
4563           317            13             320            21             
4564           317            13             320            21             
4565           317            13             320            21             
4566           317            13             320            22             
4567           317            14             320            22             
4568           317            14             320            22             
4569           317            14             320            22             
4570           317            14             320            22             
4571           317            14             320            22             
4572           317            14             320            23             
4573           317            15             320            23             
4574           317            15             320            23             
4575           317            15             320            23             
4576           317            15             320            23             
4577           317            15             320            23             
4578           317            15             320            24             
4579           317            15             320            24             
4580           317            16             320            24             
4581           317            16             320            24             
4582           317            16             320            24             
4583           317            16             320            24             
4584           317            16             320            25             
4585           317            17             320            25             
4586           317            17             320            25             
4587           317            17             320            25             
4588           317            17             320            25             
4589           317            17             320            26             
4590           317            18             320            26             
