Frame          Left           Top            Right          Bottom         
[int]          [x_axis_pixel] [y_axis_pixel] [x_axis_pixel] [y_axis_pixel] 
1              320            255            320            256            
2              320            255            320            256            
3              319            255            320            256            
4              319            255            320            256            
5              319            255            320            256            
6              319            255            320            256            
7              319            255            320            256            
8              319            255            320            256            
9              319            255            320            256            
10             319            255            320            256            
11             319            255            320            256            
12             319            255            320            256            
13             319            255            320            256            
14             319            255            320            256            
15             319            255            320            256            
16             319            255            320            256            
17             319            255            320            256            
18             319            255            320            256            
19             319            255            320            256            
20             319            255            320            256            
21             319            255            320            256            
22             319            255            320            256            
23             319            255            320            256            
24             319            255            320            256            
25             319            255            320            256            
26             319            255            320            256            
27             319            255            320            256            
28             319            255            320            256            
29             319            255            320            256            
30             319            255            320            256            
31             319            255            319            256            
32             319            255            320            256            
33             319            255            319            256            
34             319            255            319            256            
35             319            255            319            256            
36             319            255            319            256            
37             319            255            319            256            
38             319            255            319            256            
39             319            255            319            256            
40             319            255            319            256            
41             319            255            319            256            
42             319            255            319            256            
43             319            255            319            256            
44             319            255            319            256            
45             319            254            319            256            
46             319            254            319            256            
47             319            254            319            256            
48             319            254            319            256            
49             319            254            319            256            
50             319            254            319            256            
51             319            254            319            256            
52             319            254            319            256            
53             319            254            319            256            
54             319            254            319            256            
55             319            254            319            256            
56             319            254            319            256            
57             319            254            319            256            
58             319            254            319            256            
59             319            254            319            256            
60             319            255            319            256            
61             319            255            319            256            
62             319            255            319            256            
63             319            255            319            256            
64             319            255            319            256            
65             319            255            319            256            
66             319            255            319            256            
67             319            255            319            256            
68             319            255            319            256            
69             319            255            319            256            
70             319            255            319            256            
71             319            255            319            256            
72             319            255            319            256            
73             319            255            319            256            
74             319            255            319            256            
75             319            255            319            256            
76             319            255            319            256            
77             319            255            319            256            
78             319            255            319            256            
79             319            255            319            256            
80             319            255            319            256            
81             319            255            319            256            
82             319            255            319            256            
83             319            255            319            256            
84             319            255            319            256            
85             319            255            319            256            
86             319            255            319            256            
87             319            255            319            256            
88             319            255            319            256            
89             319            255            319            256            
90             319            255            319            256            
91             319            255            319            256            
92             319            255            319            256            
93             319            255            319            256            
94             319            255            319            256            
95             319            255            319            256            
96             319            255            319            256            
97             319            255            319            256            
98             319            255            319            256            
99             319            255            319            256            
100            319            255            319            256            
101            319            255            319            256            
102            319            255            319            256            
103            319            255            319            256            
104            319            255            319            256            
105            319            255            319            256            
106            319            255            319            256            
107            319            255            319            256            
108            319            255            319            256            
109            319            255            319            256            
110            319            255            319            256            
111            319            255            319            256            
112            319            255            319            256            
113            319            254            319            256            
114            319            255            319            256            
115            319            254            319            256            
116            319            254            319            256            
117            319            255            319            256            
118            319            255            319            256            
119            319            255            319            256            
120            319            255            319            256            
121            319            255            319            256            
122            319            255            319            256            
123            319            255            319            256            
124            319            255            319            256            
125            319            255            319            256            
126            319            255            319            256            
127            319            255            319            256            
128            319            255            319            256            
129            319            255            319            256            
130            319            255            319            256            
131            319            255            319            256            
132            319            255            319            256            
133            319            255            319            256            
134            319            255            319            256            
135            319            255            319            256            
136            319            255            319            256            
137            319            255            319            256            
138            319            254            319            256            
139            319            254            319            256            
140            319            255            319            256            
141            319            255            319            256            
142            319            255            319            256            
143            319            255            320            256            
144            319            254            320            256            
145            320            254            320            256            
146            320            254            320            256            
147            320            254            320            256            
148            320            254            320            256            
149            320            254            320            256            
150            320            254            320            255            
151            320            254            320            255            
152            320            254            320            255            
153            320            254            320            255            
154            320            254            320            255            
155            320            254            320            255            
156            320            254            320            255            
157            320            254            320            255            
158            320            254            320            255            
159            320            254            320            255            
160            320            254            320            255            
161            320            254            320            255            
162            320            254            320            255            
163            320            254            320            255            
164            320            254            320            256            
165            320            254            320            256            
