Frame          Left           Top            Right          Bottom         
[int]          [x_axis_pixel] [y_axis_pixel] [x_axis_pixel] [y_axis_pixel] 
1              319            250            320            254            
2              319            250            320            254            
3              319            250            320            254            
4              319            250            320            254            
5              319            250            320            254            
6              319            250            320            254            
7              319            250            320            254            
8              319            250            320            254            
9              319            250            320            254            
10             319            250            320            254            
11             319            250            320            254            
12             319            250            320            254            
13             319            250            320            254            
14             319            250            320            254            
15             319            250            320            254            
16             319            250            320            254            
17             319            250            320            254            
18             319            250            320            254            
19             319            250            320            254            
20             319            250            320            254            
21             319            250            320            254            
22             319            250            320            254            
23             319            250            320            254            
24             319            250            320            254            
25             319            250            320            254            
26             319            250            320            254            
27             319            250            320            254            
28             319            250            320            254            
29             319            250            320            254            
30             319            250            320            254            
31             319            250            320            254            
32             319            250            320            254            
33             319            250            320            254            
34             319            250            320            254            
35             319            250            320            254            
36             319            250            320            254            
37             319            250            320            254            
38             319            250            320            254            
39             319            250            320            254            
40             319            250            320            254            
41             319            250            320            254            
42             319            250            320            254            
43             319            250            320            254            
44             319            250            320            254            
45             319            250            320            254            
46             319            250            320            254            
47             319            250            320            254            
48             319            250            320            254            
49             319            250            320            254            
50             319            250            320            254            
51             319            250            320            254            
52             319            250            320            254            
53             319            250            320            254            
54             319            250            320            254            
55             319            250            320            254            
56             319            250            320            254            
57             319            250            320            254            
58             319            250            320            254            
59             319            250            320            254            
60             319            250            320            254            
61             319            250            320            254            
62             319            250            320            254            
63             319            250            320            254            
64             319            250            320            254            
65             319            250            320            254            
66             319            250            320            254            
67             319            250            320            254            
68             319            250            320            254            
69             319            250            320            254            
70             319            250            320            254            
71             319            250            320            254            
72             319            250            320            254            
73             319            250            320            254            
74             319            250            320            254            
75             319            250            320            254            
76             319            250            320            254            
77             319            250            320            254            
78             319            250            320            254            
79             319            250            320            254            
80             319            250            320            254            
81             319            250            320            254            
82             319            250            320            254            
83             319            250            320            254            
84             319            250            320            254            
85             319            250            320            254            
86             319            250            320            254            
87             319            250            320            254            
88             319            250            320            254            
89             319            250            320            254            
90             319            250            320            254            
91             319            250            320            254            
92             319            250            320            254            
93             319            250            320            254            
94             319            250            320            254            
95             319            250            320            254            
96             319            250            320            254            
97             319            250            320            254            
98             319            250            320            254            
99             319            250            320            254            
100            319            250            320            254            
101            319            250            320            254            
102            319            250            320            254            
103            319            250            320            254            
104            319            250            320            254            
105            319            250            320            254            
106            319            250            320            254            
107            319            250            320            254            
108            319            250            320            254            
109            319            250            320            254            
110            319            250            320            254            
111            319            250            320            254            
112            319            250            320            254            
113            319            250            320            254            
114            319            250            320            254            
115            319            250            320            254            
116            319            250            320            254            
117            319            250            320            254            
118            319            250            320            254            
119            319            250            320            254            
120            319            250            320            254            
121            319            250            320            254            
122            319            250            320            254            
123            319            250            320            254            
124            319            250            320            254            
125            319            250            320            254            
126            319            250            320            254            
127            319            250            320            254            
128            319            250            320            254            
129            319            250            320            254            
130            319            250            320            254            
131            319            250            320            254            
132            319            250            320            254            
133            319            250            320            255            
134            319            250            320            255            
135            319            250            320            255            
136            319            250            320            255            
137            319            250            320            255            
138            319            251            320            255            
139            319            250            320            255            
140            319            250            320            255            
141            319            251            320            255            
142            319            251            320            255            
143            319            251            320            255            
