Frame          Left           Top            Right          Bottom         
[int]          [x_axis_pixel] [y_axis_pixel] [x_axis_pixel] [y_axis_pixel] 
1              317            254            321            261            
2              317            254            321            261            
3              317            254            321            261            
4              317            254            321            261            
5              317            254            321            261            
6              317            254            321            261            
7              317            254            321            261            
8              317            254            321            261            
9              317            254            321            261            
10             317            254            321            261            
11             317            254            321            261            
12             317            254            321            261            
13             317            254            321            261            
14             317            254            321            261            
15             317            254            321            261            
16             317            254            321            261            
17             317            254            321            261            
18             317            254            321            261            
19             317            254            321            261            
20             317            254            321            261            
21             317            254            321            261            
22             317            254            321            261            
23             317            254            321            261            
24             317            254            321            261            
25             317            254            321            261            
26             317            254            321            261            
27             317            254            321            261            
28             317            254            321            261            
29             317            254            321            261            
30             317            254            321            261            
31             317            254            321            261            
32             317            254            321            261            
33             317            254            321            261            
34             317            254            321            261            
35             317            254            321            261            
36             317            254            321            261            
37             317            254            321            261            
38             317            254            321            261            
39             317            254            321            261            
40             317            254            321            261            
41             317            254            321            261            
42             317            254            321            261            
43             317            254            321            261            
44             317            254            321            261            
45             317            254            321            261            
46             317            254            321            261            
47             317            254            321            261            
48             317            254            321            261            
49             317            254            321            261            
50             317            254            321            261            
51             317            254            321            261            
52             317            254            321            261            
53             317            254            321            261            
54             317            254            321            261            
55             317            254            321            261            
56             317            254            321            261            
57             317            254            321            261            
58             317            254            321            261            
59             317            254            321            261            
60             317            254            321            261            
61             317            254            321            261            
62             317            254            321            261            
63             317            254            321            261            
64             317            254            321            261            
65             317            254            321            261            
66             317            254            321            261            
67             317            254            321            261            
68             317            254            321            261            
69             317            254            321            261            
70             317            254            321            261            
71             317            254            321            261            
72             317            254            321            261            
73             317            254            321            261            
74             317            254            321            261            
75             317            254            321            261            
76             317            254            321            261            
77             317            254            321            261            
78             317            254            321            261            
79             317            254            321            261            
80             317            254            321            261            
81             317            254            321            261            
82             317            254            321            261            
83             317            254            321            261            
84             317            254            321            261            
85             317            254            321            261            
86             317            254            321            261            
87             317            254            321            261            
88             317            254            321            261            
89             317            254            321            261            
90             317            254            321            261            
91             317            254            321            261            
92             317            254            321            261            
93             317            254            321            261            
94             317            254            321            261            
95             317            254            321            261            
96             317            254            321            261            
97             317            254            321            261            
98             317            254            321            261            
99             317            254            321            261            
100            317            254            321            261            
101            317            254            321            261            
102            317            254            321            261            
103            317            254            321            261            
104            317            254            321            261            
105            317            254            321            261            
106            317            254            321            261            
107            317            254            321            261            
108            317            254            321            261            
109            317            254            321            261            
110            317            254            321            261            
111            317            254            321            261            
112            317            254            321            261            
113            317            254            321            261            
114            317            254            321            261            
115            317            254            321            261            
116            317            254            321            261            
117            317            254            321            261            
118            317            254            321            261            
119            317            254            321            261            
120            317            254            321            261            
121            317            254            321            261            
122            317            254            321            261            
123            317            254            321            261            
124            317            254            321            261            
125            317            254            321            261            
126            317            254            320            261            
127            317            254            320            261            
128            317            254            320            261            
129            317            254            320            261            
130            317            254            320            261            
131            316            254            320            261            
132            316            254            320            261            
133            316            254            320            261            
134            316            254            320            261            
135            316            254            320            261            
136            316            254            320            261            
137            316            254            320            261            
138            316            254            320            261            
139            316            254            320            261            
140            316            254            320            261            
141            316            254            320            261            
142            316            254            320            261            
143            316            254            320            261            
144            316            254            320            262            
145            316            254            320            262            
146            317            254            320            262            
147            317            254            320            262            
148            317            254            320            262            
149            317            254            321            262            
150            317            254            321            262            
151            317            254            321            261            
152            317            254            321            261            
153            317            254            321            261            
154            317            254            321            261            
155            317            254            321            261            
156            317            254            321            261            
157            317            254            321            261            
158            317            254            321            261            
159            317            254            321            261            
160            317            254            321            261            
161            317            254            321            261            
162            317            254            321            261            
163            317            253            321            261            
164            317            253            320            261            
165            317            253            320            261            
166            316            253            320            260            
167            316            253            320            260            
168            316            253            320            260            
169            316            253            319            260            
170            315            253            319            260            
171            315            252            319            259            
172            315            252            318            259            
173            314            252            318            259            
174            314            252            317            259            
175            313            252            317            259            
176            313            251            317            258            
177            313            251            316            258            
178            312            251            316            258            
179            312            251            316            258            
180            312            251            316            258            
181            312            251            316            258            
182            312            251            316            258            
183            312            251            316            258            
184            312            251            315            258            
185            312            251            315            258            
186            312            251            315            258            
187            312            251            315            258            
188            312            251            315            258            
189            312            251            315            258            
190            312            251            316            258            
191            312            251            316            258            
192            312            251            316            258            
193            312            251            316            258            
194            312            251            316            258            
195            312            251            316            258            
196            312            251            316            258            
197            313            251            316            259            
198            313            252            317            259            
199            313            252            317            259            
200            313            252            318            259            
201            314            252            318            259            
202            314            252            318            259            
203            314            252            318            260            
204            315            253            318            260            
205            315            253            319            260            
206            315            253            319            260            
207            316            253            319            261            
208            316            253            320            261            
209            316            254            320            261            
210            316            254            320            261            
211            317            254            321            261            
212            317            254            321            261            
213            317            254            321            262            
214            317            254            321            262            
215            318            255            321            262            
216            318            255            321            262            
217            318            255            321            262            
218            318            255            322            262            
219            318            255            322            262            
220            318            255            322            262            
221            318            255            322            262            
222            318            255            322            262            
223            318            255            322            262            
224            318            255            322            262            
225            318            255            322            262            
226            318            255            322            262            
227            318            255            322            262            
228            318            255            322            262            
229            318            255            322            262            
230            318            255            322            262            
231            319            255            322            263            
232            319            255            322            263            
233            319            255            323            263            
234            319            256            323            263            
235            320            256            324            263            
236            320            256            324            263            
237            320            256            324            263            
238            320            257            324            264            
239            321            257            324            264            
240            321            257            325            264            
241            321            257            325            264            
242            321            257            325            264            
243            322            257            325            264            
244            322            257            325            265            
245            322            257            326            265            
246            322            258            326            265            
247            322            258            326            265            
248            322            258            326            265            
249            322            258            326            265            
250            322            258            327            265            
251            323            258            327            265            
252            323            258            327            265            
253            323            258            327            265            
254            323            258            327            265            
255            323            258            327            265            
256            322            258            326            265            
257            322            258            326            265            
258            322            258            326            265            
259            322            258            326            265            
260            322            258            326            265            
261            322            257            326            265            
262            322            257            325            264            
263            321            257            325            264            
264            321            257            325            264            
265            321            257            325            264            
266            321            256            324            264            
267            320            256            324            264            
268            320            256            324            263            
269            320            256            324            263            
270            319            256            323            263            
271            319            256            323            263            
272            319            255            323            263            
273            319            255            322            262            
274            318            255            322            262            
275            318            254            321            262            
276            317            254            321            262            
277            317            254            321            261            
278            317            254            321            261            
279            317            254            321            261            
280            317            254            320            261            
281            317            254            320            261            
282            316            254            320            261            
283            316            254            320            261            
284            316            254            320            261            
285            316            253            320            260            
286            316            253            320            260            
287            316            253            320            260            
288            316            253            320            260            
289            316            253            320            260            
290            316            253            320            260            
291            316            253            320            260            
292            316            253            320            260            
293            316            253            320            260            
294            316            253            320            260            
295            316            253            320            260            
296            316            253            320            260            
297            316            253            320            261            
298            316            254            320            260            
299            316            254            320            260            
300            316            254            320            261            
301            316            254            320            261            
302            316            254            320            261            
303            316            254            320            261            
304            316            254            320            261            
305            316            254            320            261            
306            316            254            320            261            
307            316            254            320            261            
308            316            254            320            261            
309            316            254            320            261            
310            317            254            320            261            
311            317            254            320            261            
312            317            254            320            261            
313            317            254            320            261            
314            317            254            320            261            
315            317            254            320            261            
316            317            254            320            261            
317            317            254            320            261            
318            317            254            320            261            
319            317            254            320            261            
320            317            254            320            261            
321            317            254            320            261            
322            317            254            320            261            
323            317            254            320            261            
324            317            254            320            261            
325            317            254            320            261            
326            317            254            320            261            
327            317            254            320            261            
328            317            254            321            261            
329            317            254            321            261            
330            317            254            321            261            
331            317            254            321            261            
332            317            254            321            261            
333            317            254            321            261            
334            317            254            321            261            
335            317            254            321            261            
336            317            254            321            261            
337            317            254            321            261            
338            317            254            321            261            
339            317            254            321            261            
340            317            254            321            261            
341            317            254            321            261            
342            317            254            321            261            
343            317            254            321            261            
344            317            254            321            261            
345            317            254            321            261            
346            317            254            321            261            
347            317            254            321            261            
348            317            254            321            261            
349            317            254            321            261            
350            317            254            321            261            
351            317            254            321            261            
352            317            254            321            261            
353            317            254            321            261            
354            317            254            321            261            
355            317            254            321            261            
356            317            254            321            261            
357            317            254            321            261            
358            317            254            321            261            
359            317            254            321            261            
360            317            254            321            261            
361            317            254            321            261            
362            317            254            321            261            
363            317            254            321            261            
364            317            254            321            261            
