Frame          Left           Top            Right          Bottom         
[int]          [x_axis_pixel] [y_axis_pixel] [x_axis_pixel] [y_axis_pixel] 
1              319            255            320            255            
2              319            255            320            255            
3              319            255            320            255            
4              319            255            320            255            
5              319            255            320            255            
6              319            255            320            255            
7              319            255            320            255            
8              319            255            320            255            
9              319            255            320            255            
10             319            255            320            255            
11             319            255            320            255            
12             319            255            320            255            
13             319            255            320            255            
14             319            255            320            255            
15             319            255            320            255            
16             319            255            320            255            
17             319            255            320            255            
18             319            255            320            255            
19             319            255            320            255            
20             319            255            320            255            
21             319            255            320            255            
22             319            255            320            255            
23             319            255            320            255            
24             319            255            320            255            
25             319            255            320            255            
26             319            255            320            255            
27             319            255            320            255            
28             319            255            320            255            
29             319            255            320            255            
30             319            255            320            255            
31             319            255            320            255            
32             319            255            320            255            
33             319            255            320            255            
34             319            255            320            255            
35             319            255            320            255            
36             319            255            320            255            
37             319            255            320            255            
38             319            255            320            255            
39             319            255            320            255            
40             319            255            320            255            
41             319            255            320            255            
42             319            255            320            255            
43             319            255            320            255            
44             319            255            320            255            
45             319            255            320            255            
46             319            255            320            255            
47             319            255            320            255            
48             319            255            320            255            
49             319            255            320            255            
50             319            255            320            255            
51             319            255            320            255            
52             319            255            320            255            
53             319            255            320            255            
54             319            255            320            255            
55             319            255            320            255            
56             319            255            320            255            
57             319            255            320            255            
58             319            255            320            255            
59             319            255            320            255            
60             319            255            320            255            
61             319            255            320            255            
62             319            255            320            255            
63             319            255            320            255            
64             319            255            320            255            
65             319            255            320            255            
66             319            255            320            255            
67             319            255            320            255            
68             319            255            320            255            
69             319            255            320            255            
70             319            255            320            255            
71             319            255            320            255            
72             319            255            320            255            
73             319            255            320            255            
74             319            255            320            255            
75             319            255            320            255            
76             319            255            320            255            
77             319            255            320            255            
78             319            255            320            255            
79             319            255            320            255            
80             319            255            320            255            
81             319            255            320            255            
82             319            255            320            255            
83             319            255            320            255            
84             319            255            320            255            
85             319            255            320            255            
86             319            255            320            255            
87             319            255            320            255            
88             319            255            320            255            
89             319            255            320            255            
90             319            255            320            255            
91             319            255            320            255            
92             319            255            320            255            
93             319            255            320            255            
94             319            255            320            255            
95             319            255            320            255            
96             319            255            320            255            
97             319            255            320            255            
98             319            255            320            255            
99             319            255            320            255            
100            319            255            320            255            
101            319            255            320            255            
102            319            255            320            255            
103            319            255            320            255            
104            319            255            320            255            
105            319            255            320            255            
106            319            255            320            255            
107            319            255            320            255            
108            319            255            320            255            
109            319            255            320            255            
110            319            255            320            255            
111            319            255            320            255            
112            319            255            320            255            
113            319            255            320            255            
114            319            255            320            255            
115            319            255            320            255            
116            319            255            320            255            
117            319            255            320            255            
118            319            255            320            255            
119            319            255            320            255            
120            319            255            319            255            
121            319            255            319            255            
122            319            255            319            255            
123            319            255            319            255            
124            319            255            319            255            
125            319            255            319            255            
126            319            255            319            255            
127            319            254            319            255            
128            319            254            319            255            
129            319            254            319            255            
130            319            254            319            255            
131            319            254            319            255            
132            319            254            319            255            
133            319            254            319            255            
134            319            254            319            255            
135            319            254            319            255            
136            319            254            319            255            
137            319            254            319            255            
138            319            254            319            255            
139            319            254            319            255            
140            319            254            319            255            
141            319            254            319            255            
142            319            254            319            255            
143            319            254            319            255            
144            319            255            319            255            
145            319            255            319            255            
146            319            255            319            255            
147            319            255            319            255            
148            319            255            319            255            
149            319            255            320            255            
150            319            255            320            255            
151            319            255            320            255            
152            319            255            320            255            
153            319            255            320            256            
154            319            255            320            256            
155            319            255            319            256            
156            319            255            319            256            
157            319            256            319            256            
158            318            256            319            256            
159            318            256            319            257            
160            318            256            319            256            
161            318            256            318            257            
162            318            256            318            257            
163            317            256            318            257            
164            317            256            317            257            
165            317            256            317            257            
166            316            256            317            257            
167            316            256            317            257            
168            316            256            316            257            
169            315            256            316            257            
170            315            256            316            257            
171            315            256            315            257            
172            315            256            315            257            
173            314            256            315            257            
174            314            256            315            257            
175            314            256            315            257            
176            314            256            315            257            
177            314            256            315            257            
178            314            256            314            257            
179            314            256            314            257            
180            314            256            314            257            
181            314            256            314            257            
182            314            256            314            257            
183            314            256            314            257            
184            314            256            314            257            
185            314            256            314            256            
186            314            256            314            256            
187            314            256            315            256            
188            314            256            315            256            
189            314            256            315            257            
190            314            256            315            257            
191            315            256            315            256            
192            315            256            315            256            
193            315            256            316            256            
194            315            256            316            256            
195            315            256            316            256            
196            316            256            316            256            
197            316            255            317            256            
198            316            256            317            256            
199            317            255            317            256            
200            317            255            317            256            
201            317            255            318            256            
202            318            255            318            256            
203            318            255            319            256            
204            318            255            319            256            
205            319            255            319            256            
206            319            255            320            255            
207            319            255            320            255            
208            319            255            320            256            
209            319            255            320            256            
210            319            255            320            256            
211            320            255            320            255            
212            320            255            320            255            
213            320            255            320            255            
214            320            255            320            255            
215            320            255            320            255            
216            320            255            320            255            
217            320            255            320            255            
218            320            255            320            255            
219            320            255            320            255            
220            320            255            321            255            
221            320            255            321            255            
222            320            255            321            255            
223            320            255            321            255            
224            321            255            321            255            
225            321            255            321            255            
226            321            254            322            255            
227            321            255            322            255            
228            321            254            322            255            
229            322            254            322            255            
230            322            254            323            255            
231            322            254            323            255            
232            323            254            323            255            
233            323            254            324            255            
234            323            254            324            255            
235            324            254            324            255            
236            324            254            324            255            
237            324            254            325            254            
238            324            254            325            254            
239            324            254            325            255            
240            324            254            325            255            
241            324            254            325            254            
242            325            254            325            254            
243            325            254            325            254            
244            325            254            325            254            
245            325            254            325            254            
246            325            254            325            254            
247            325            254            325            254            
248            325            254            325            254            
249            324            254            325            254            
250            324            254            325            255            
251            324            254            325            254            
252            324            254            325            254            
253            324            254            324            255            
254            324            254            324            255            
255            323            254            324            255            
256            323            254            324            255            
257            323            254            323            255            
258            322            254            323            255            
259            322            254            323            255            
260            322            254            322            255            
261            321            255            322            255            
262            321            254            322            255            
263            321            255            321            255            
264            320            255            321            255            
265            320            255            321            255            
266            320            255            320            255            
267            320            255            320            255            
268            319            255            320            256            
269            319            255            320            255            
270            319            255            319            255            
271            319            255            319            256            
272            319            255            319            256            
273            319            255            319            256            
274            318            255            319            256            
275            318            255            319            256            
276            318            255            319            256            
277            318            255            319            256            
