Frame          Left           Top            Right          Bottom         
[int]          [x_axis_pixel] [y_axis_pixel] [x_axis_pixel] [y_axis_pixel] 
1              319            254            321            257            
2              319            254            321            257            
3              319            254            321            257            
4              319            254            321            257            
5              319            254            321            257            
6              319            254            321            257            
7              319            254            321            257            
8              319            254            321            257            
9              319            254            321            257            
10             319            254            321            257            
11             319            254            321            257            
12             319            254            321            257            
13             319            254            321            257            
14             319            254            321            257            
15             319            254            321            257            
16             319            254            321            257            
17             319            254            321            257            
18             319            254            321            257            
19             319            254            321            257            
20             319            254            321            257            
21             319            254            321            257            
22             319            254            321            257            
23             319            254            321            257            
24             319            254            321            257            
25             319            254            321            257            
26             319            254            321            257            
27             319            254            321            257            
28             319            254            321            257            
29             319            254            321            257            
30             319            254            321            257            
31             319            254            321            257            
32             319            254            320            257            
33             319            254            320            257            
34             319            254            320            257            
35             319            254            320            257            
36             319            254            320            257            
37             319            254            320            257            
38             319            254            320            257            
39             319            254            320            257            
40             319            254            320            257            
41             319            254            320            257            
42             319            254            320            257            
43             319            254            320            257            
44             319            254            320            257            
45             319            254            320            257            
46             319            254            320            257            
47             319            254            320            257            
48             319            254            320            257            
49             319            254            320            257            
50             319            254            320            257            
51             319            254            320            257            
52             319            254            320            257            
53             319            254            320            257            
54             319            254            320            257            
55             319            254            320            257            
56             319            254            320            257            
57             319            254            320            257            
58             319            254            320            257            
59             319            254            320            257            
60             319            254            320            257            
61             319            254            320            257            
62             319            254            320            257            
63             319            254            320            257            
64             319            254            320            257            
65             319            254            320            257            
66             319            254            320            257            
67             319            254            320            257            
68             319            254            320            257            
69             319            254            320            257            
70             319            254            320            257            
71             319            254            320            257            
72             319            254            320            257            
73             319            254            320            257            
74             319            254            320            257            
75             319            254            320            257            
76             319            254            321            257            
77             319            254            321            257            
78             319            254            321            257            
79             319            254            321            257            
80             319            254            321            257            
81             319            254            321            257            
82             319            254            321            257            
83             319            254            321            257            
84             319            254            321            257            
85             319            254            321            257            
86             319            254            321            257            
87             319            254            321            257            
88             319            254            321            257            
89             319            254            321            257            
90             319            254            321            257            
91             319            254            321            257            
92             319            254            321            257            
93             319            254            321            257            
94             319            254            321            257            
95             319            254            321            257            
96             319            254            321            257            
97             319            254            321            257            
98             319            254            321            257            
99             319            254            321            257            
100            319            254            321            257            
101            319            254            321            257            
102            319            254            321            257            
103            319            254            321            257            
104            319            254            321            257            
105            319            254            321            257            
106            319            254            321            257            
107            319            254            321            257            
108            319            254            321            257            
109            319            254            321            257            
110            319            254            321            257            
111            319            254            321            257            
112            319            254            320            257            
113            319            254            321            257            
114            319            254            320            257            
115            319            254            321            257            
116            319            254            320            257            
117            319            254            321            257            
118            319            254            321            257            
119            319            254            321            257            
120            319            254            321            257            
121            319            254            321            257            
122            319            254            321            257            
123            319            254            321            257            
124            319            254            321            257            
125            319            254            321            257            
126            319            254            321            257            
127            319            254            321            257            
128            319            254            321            257            
129            319            254            321            257            
130            319            254            321            257            
131            319            254            321            257            
132            319            254            321            257            
133            319            254            321            257            
134            319            254            321            257            
135            319            254            321            257            
136            319            254            321            257            
137            319            254            321            257            
138            319            254            321            257            
139            319            254            321            257            
140            319            254            321            257            
141            319            254            321            257            
142            319            254            321            257            
143            319            254            321            257            
144            319            254            321            257            
145            319            254            321            257            
146            319            254            321            257            
147            319            254            321            257            
148            319            254            321            257            
149            319            254            321            257            
150            319            254            321            257            
151            319            254            321            257            
152            319            254            321            257            
153            319            254            321            257            
154            319            254            321            257            
155            319            254            320            257            
156            319            254            320            257            
157            319            254            320            257            
158            319            254            320            257            
159            319            254            320            257            
160            319            254            320            257            
161            318            254            320            257            
162            318            254            320            257            
163            318            253            320            257            
164            318            253            320            257            
165            318            253            320            257            
166            318            253            320            257            
167            318            253            320            257            
168            318            253            320            257            
169            318            253            320            257            
170            318            253            320            257            
171            318            254            320            257            
172            318            254            320            257            
173            319            254            320            257            
